2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 972, 'frame.time_delta': 0.02293872833251953, 'frame.time_delta_displayed': 0.02293872833251953, 'frame.time_epoch': 1719296023.7100334, 'frame.time_relative': 27.657237768173218, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 978, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296023.83071, 'frame.time_relative': 27.77791428565979, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 978, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296023.83071, 'frame.time_relative': 27.77791428565979, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 981, 'frame.time_delta': 0.0059926509857177734, 'frame.time_delta_displayed': 0.0059926509857177734, 'frame.time_epoch': 1719296023.8586771, 'frame.time_relative': 27.80588150024414, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 981, 'frame.time_delta': 0.0059926509857177734, 'frame.time_delta_displayed': 0.0059926509857177734, 'frame.time_epoch': 1719296023.8586771, 'frame.time_relative': 27.80588150024414, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 986, 'frame.time_delta': 0.0009548664093017578, 'frame.time_delta_displayed': 0.0009548664093017578, 'frame.time_epoch': 1719296023.9593675, 'frame.time_relative': 27.906571865081787, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 986, 'frame.time_delta': 0.0009548664093017578, 'frame.time_delta_displayed': 0.0009548664093017578, 'frame.time_epoch': 1719296023.9593675, 'frame.time_relative': 27.906571865081787, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 987, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296023.9643538, 'frame.time_relative': 27.911558151245117, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,117 - Deauth packet detected at timestamp: 28.065147399902344 - Packet Info: {'frame.len': 26, 'frame.number': 987, 'frame.time_delta': 0.004986286163330078, 'frame.time_delta_displayed': 0.004986286163330078, 'frame.time_epoch': 1719296023.9643538, 'frame.time_relative': 27.911558151245117, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
2024-06-25 09:13:44,118 - Deauth packet detected at timestamp: 28.066145420074463 - Packet Info: {'frame.len': 26, 'frame.number': 989, 'frame.time_delta': 0.0059833526611328125, 'frame.time_delta_displayed': 0.0059833526611328125, 'frame.time_epoch': 1719296023.9972968, 'frame.time_relative': 27.944501161575317, 'wlan.duration': 0, 'wlan.fc.frag': 0, 'wlan.fc.order': 0, 'wlan.fc.moredata': 0, 'wlan.fc.protected': 0, 'wlan.fc.pwrmgt': 0, 'wlan.fc.type': 0, 'wlan.fc.retry': 0, 'wlan.fc.subtype': 12, 'wlan.seq': 0, 'is_deauth': True}
